country,province,year,population_total_thousand,population_rural_thousand,population_urban_thousand,rural_share,province_pop_share,farm_income_usd,ag_production_bln_uzs,ag_production_share,grain_production_kt,grain_yield_proxy,agri_employment_share,crop_water_intensity_m3_per_usd,province_irrigation_km3,sdg_642_water_stress_pct,water_use_efficiency_usd_m3,irrigation_withdrawal_km3,ag_water_pct_of_total,cultivated_irrigated_pct,governance_baseline,water_governance_index,water_tariff_index,wua_coverage,uz_env_code_2021,annual_mean_temp_c,annual_total_precip_mm,NDVI,NDSI,PET_mean,lc_forest_pct,lc_grassland_pct,lc_cropland_pct,lc_urban_pct,lc_barren_pct,lc_water_pct,soil_moisture_mean,WSI_demand,WSI_supply,WSI_governance,WSI,WSI_category,country_code,WSI_predicted
Kyrgyzstan,Batken,2016,505.5,379.1,126.4,0.75,0.1768,1696.53,14443.6,0.1602,97.1,0.0067,0.2679,5.541,1.1448,50.039,0.7964,7.144,92.6893,74.8937,0.368,0.418,0.21,0.75,0,9.9,585.0,0.0683,-0.025,285.207,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1429,0.0741504179227863,0.330145835114799,0.227065217391304,0.214777284666721,Low,0,0.21606057341458967
Kyrgyzstan,Batken,2017,515.3,386.5,128.8,0.75,0.1768,1812.31,14644.6,0.1547,100.0,0.0068,0.2303,5.196,1.1049,50.039,0.8368,7.144,92.6893,74.8937,0.376,0.426,0.22,0.75,0,10.74,525.0,0.1416,-0.1758,285.207,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1429,0.0502053223294936,0.292173409930026,0.201231884057971,0.184749197801826,Low,0,0.19522763484806394
Kyrgyzstan,Batken,2018,525.0,393.8,131.3,0.75,0.1768,1939.39,15700.3,0.1605,98.4,0.0063,0.2026,5.026,1.1463,50.039,0.8613,7.144,92.6893,74.8278,0.384,0.434,0.23,0.76,0,11.26,539.0,0.133,-0.2012,285.207,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1651,0.0369794696401684,0.269806102831588,0.168876811594202,0.163084458405244,Low,0,0.1785558104260365
Kyrgyzstan,Batken,2019,535.0,401.3,133.8,0.75,0.1768,2028.66,15806.1,0.1587,106.539,0.0067,0.1814,5.005,1.1336,50.039,0.9122,7.144,92.6893,74.8827,0.392,0.442,0.24,0.76,0,10.84,504.0,0.187,-0.2672,285.207,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1621,0.024643522109907,0.240712607221972,0.143043478260869,0.140671145192473,Low,0,0.16168640570576392
Kyrgyzstan,Batken,2020,547.1,410.3,136.8,0.75,0.1768,1933.0,17799.1,0.1594,112.047,0.0063,0.1826,4.953,1.1387,50.039,0.8571,7.144,92.6893,74.8772,0.376,0.426,0.25,0.77,0,10.8,121.0,0.1934,-0.2897,285.207,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.164,0.0254008715062261,0.412069238918763,0.173188405797101,0.21701510204396,Low,0,0.22134250129364572
Kyrgyzstan,Batken,2021,556.6,417.4,139.1,0.75,0.1768,1882.16,21659.8,0.1439,91.1,0.0042,0.1834,4.025,1.0281,50.039,0.8821,7.144,92.6893,74.8772,0.344,0.394,0.26,0.77,0,10.73,55.0,0.1605,-0.2579,285.207,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1426,0.0160386123474997,0.495296472575471,0.251521739130434,0.266612538134422,Low,0,0.2623380429033568
Kyrgyzstan,Batken,2022,565.6,424.2,141.4,0.75,0.1768,2133.88,24805.83,0.149,109.8,0.0044,0.1783,3.608,1.0643,50.039,0.9295,7.144,92.6893,74.9102,0.338,0.388,0.27,0.78,0,9.77,50.5,0.1353,-0.1998,336.1699,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1686,0.0139046285979511,0.519784598502821,0.255625,0.276686709410411,Low,0,0.27479577932129656
Kyrgyzstan,Batken,2023,575.1,431.3,143.8,0.75,0.1768,2224.04,27702.1,0.1582,97.696,0.0035,0.171,3.589,1.1304,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.28,0.78,0,11.22,81.0,0.1294,-0.1885,300.5549,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1384,0.0137142566526148,0.523828241772662,0.26625,0.28089378653748,Low,0,0.2762998595009328
Kyrgyzstan,Batken,2024,585.2,438.9,146.3,0.75,0.1768,2414.27,27876.1,0.159,106.646,0.0038,0.1569,3.564,1.1362,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.3,0.78,0,11.63,137.0,0.1261,-0.1606,386.2364,0.0513,0.5584,0.0379,0.0098,0.2621,0.0039,0.1384,0.00630392429724464,0.546475602543809,0.25625,0.284859114521559,Low,0,0.2792663318074677
Kyrgyzstan,Jalal-Abad,2016,1152.5,806.7,345.7,0.7,0.4031,1504.58,38215.0,0.424,271.2,0.0071,0.2679,5.541,3.029,50.039,0.7964,7.144,92.6893,74.8937,0.368,0.418,0.21,0.75,0,9.9,585.0,0.1881,-0.1044,363.8291,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2077,0.195415248449497,0.195516145697672,0.227065217391304,0.203368099584219,Low,0,0.21254335497568938
Kyrgyzstan,Jalal-Abad,2017,1174.8,822.4,352.4,0.7,0.4031,1607.26,40089.8,0.4234,267.5,0.0067,0.2303,5.196,3.0247,50.039,0.8368,7.144,92.6893,74.8937,0.376,0.426,0.22,0.75,0,10.74,525.0,0.1965,-0.145,363.8291,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2215,0.173515797164582,0.201362507452704,0.201231884057971,0.191583503003178,Low,0,0.20096812684958287
Kyrgyzstan,Jalal-Abad,2018,1197.0,837.9,359.1,0.7,0.4031,1719.96,40879.1,0.4178,272.084,0.0067,0.2026,5.026,2.9847,50.039,0.8613,7.144,92.6893,74.8278,0.384,0.434,0.23,0.76,0,11.26,539.0,0.11,-0.0377,363.8291,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2166,0.155530690370052,0.277943958029138,0.168876811594202,0.207832527739724,Low,0,0.20637077590131878
Kyrgyzstan,Jalal-Abad,2019,1219.7,853.8,365.9,0.7,0.4031,1799.13,41950.4,0.4212,276.449,0.0066,0.1814,5.005,3.0087,50.039,0.9122,7.144,92.6893,74.8827,0.392,0.442,0.24,0.76,0,10.84,504.0,0.2576,-0.3228,363.8291,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2165,0.145365630677253,0.161447581831928,0.143043478260869,0.151217873035027,Low,0,0.17446970156434322
Kyrgyzstan,Jalal-Abad,2020,1247.2,873.1,374.2,0.7,0.4031,1714.29,44661.9,0.3999,270.544,0.0061,0.1826,4.953,2.8572,50.039,0.8571,7.144,92.6893,74.8772,0.376,0.426,0.25,0.77,0,10.8,121.0,0.2433,-0.3424,363.8291,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2172,0.136938454607387,0.352726747527687,0.173188405797101,0.232316259572936,Low,0,0.23800241395765076
Kyrgyzstan,Jalal-Abad,2021,1268.8,888.2,380.7,0.7,0.4031,1669.2,64897.1,0.4312,257.095,0.004,0.1834,4.025,3.0803,50.039,0.8821,7.144,92.6893,74.8772,0.344,0.394,0.26,0.77,0,10.73,55.0,0.2043,-0.2776,363.8291,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.1972,0.147114185985817,0.439963277104519,0.251521739130434,0.290355710719452,Low,0,0.2839163044793605
Kyrgyzstan,Jalal-Abad,2022,1289.5,902.7,386.8,0.7,0.4031,1892.44,69705.5,0.4186,272.5,0.0039,0.1783,3.608,2.9907,50.039,0.9295,7.144,92.6893,74.9102,0.338,0.388,0.27,0.78,0,9.77,50.5,0.164,-0.208,388.0396,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2279,0.137590834020293,0.458744505510457,0.255625,0.295560844111285,Low,0,0.29243342539614436
Kyrgyzstan,Jalal-Abad,2023,1311.1,917.8,393.3,0.7,0.4031,1972.4,72764.2,0.4156,280.8,0.0039,0.171,3.589,2.9691,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.28,0.78,0,11.22,81.0,0.1435,-0.1878,349.9,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2028,0.132307225225527,0.469175818240035,0.26625,0.300540356124948,Moderate,0,0.2986097196195242
Kyrgyzstan,Jalal-Abad,2024,1334.2,934.0,400.3,0.7,0.4031,2141.12,76230.0,0.4349,307.606,0.004,0.1569,3.564,3.107,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.3,0.78,0,11.63,137.0,0.1489,-0.1373,441.2786,0.0933,0.7105,0.0676,0.0097,0.064,0.0029,0.2028,0.132620243830357,0.487035117444927,0.25625,0.305293632318596,Moderate,0,0.3062451593516046
Kyrgyzstan,Osh,2016,1201.4,865.0,336.4,0.72,0.4202,1609.37,37473.6,0.4158,316.6,0.0084,0.2679,5.541,2.9702,50.039,0.7964,7.144,92.6893,74.8937,0.368,0.418,0.21,0.75,0,9.9,585.0,0.0814,0.2589,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1762,0.193716386427097,0.362774129808088,0.227065217391304,0.269676691520545,Low,0,0.25735899900979015
Kyrgyzstan,Osh,2017,1224.7,881.8,342.9,0.72,0.4202,1719.2,39952.9,0.4219,297.3,0.0074,0.2303,5.196,3.0144,50.039,0.8368,7.144,92.6893,74.8937,0.376,0.426,0.22,0.75,0,10.74,525.0,0.1045,0.0234,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1934,0.174614040625065,0.351767906493976,0.201231884057971,0.252130047830856,Low,0,0.24251760855543425
Kyrgyzstan,Osh,2018,1247.8,898.4,349.4,0.72,0.4202,1839.75,41266.5,0.4217,294.126,0.0071,0.2026,5.026,3.013,50.039,0.8613,7.144,92.6893,74.8278,0.384,0.434,0.23,0.76,0,11.26,539.0,0.0736,0.1301,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1929,0.158883317354053,0.373588354029152,0.168876811594202,0.24726370558413,Low,0,0.23729680637754336
Kyrgyzstan,Osh,2019,1271.5,915.5,356.0,0.72,0.4202,1924.43,41851.7,0.4202,297.288,0.0071,0.1814,5.005,3.0016,50.039,0.9122,7.144,92.6893,74.8827,0.392,0.442,0.24,0.76,0,10.84,504.0,0.2025,-0.2455,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.184,0.146672613352876,0.283280650581124,0.143043478260869,0.200408544471173,Low,0,0.2163434924952587
Kyrgyzstan,Osh,2020,1300.1,936.1,364.0,0.72,0.4202,1833.68,49208.2,0.4407,308.769,0.0063,0.1826,4.953,3.1481,50.039,0.8571,7.144,92.6893,74.8772,0.376,0.426,0.25,0.77,0,10.8,121.0,0.2142,-0.2677,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.2044,0.155696035668761,0.430223441685731,0.173188405797101,0.269880090607634,Low,0,0.27035644543969567
Kyrgyzstan,Osh,2021,1322.7,952.3,370.3,0.72,0.4202,1785.46,63958.0,0.4249,306.94,0.0048,0.1834,4.024,3.0357,50.039,0.8821,7.144,92.6893,74.8772,0.344,0.394,0.26,0.77,0,10.73,55.0,0.1581,-0.1619,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1916,0.146204949302048,0.525222064566057,0.251521739130434,0.324140992864748,Moderate,0,0.31253787263357785
Kyrgyzstan,Osh,2022,1344.2,967.8,376.4,0.72,0.4202,2024.24,71999.4,0.4324,327.8,0.0046,0.1783,3.608,3.0891,50.039,0.9295,7.144,92.6893,74.9102,0.338,0.388,0.27,0.78,0,9.77,50.5,0.1217,-0.0917,449.4959,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.2125,0.145076497464076,0.546099646159445,0.255625,0.333122882576204,Moderate,0,0.33136066906684747
Kyrgyzstan,Osh,2023,1366.7,984.0,382.7,0.72,0.4202,2109.77,74611.3,0.4262,333.37,0.0045,0.171,3.589,3.0445,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.28,0.78,0,11.22,81.0,0.1007,-0.0561,433.0133,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1827,0.138456957692411,0.573564236733252,0.26625,0.344448129885644,Moderate,0,0.3349415147054055
Kyrgyzstan,Osh,2024,1390.8,1001.4,389.4,0.72,0.4202,2290.23,71173.1,0.4061,357.785,0.005,0.1569,3.564,2.9009,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.3,0.78,0,11.63,137.0,0.103,0.0139,490.8551,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1827,0.122321326144166,0.576263381290163,0.25625,0.337380316666523,Moderate,0,0.3354112087844077
Tajikistan,Isfara,2016,116.1,87.1,29.0,0.75,0.0133,661.33,0.1292,0.2262,15.45,119.582,0.7095,101.207,1.6689,57.7187,0.9157,7.378,81.0836,74.1803,0.273,0.273,0.15,0.32,0,15.66,130.5,0.1598,-0.2267,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0867,0.712995660118082,0.509006853517086,0.915104166666666,0.68192726411483,High,1,0.6809137064768014
Tajikistan,Isfara,2017,118.3,88.7,29.6,0.75,0.0132,902.95,0.1466,0.2253,15.32,104.502,0.67,96.927,1.6623,52.6982,1.0357,7.378,64.9224,71.9019,0.25,0.25,0.16,0.34,0,14.6,105.4,0.1598,-0.2267,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0914,0.675837701309682,0.505199994877211,0.95695652173913,0.677862323844056,High,1,0.6771204855851947
Tajikistan,Isfara,2018,120.6,90.4,30.2,0.75,0.0132,919.6,0.1577,0.2259,13.68,86.747,0.6688,96.732,1.6667,64.4808,0.9105,7.378,75.486,71.5898,0.25,0.25,0.17,0.36,0,15.19,232.0,0.1296,-0.2555,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1128,0.674737905183843,0.47525254185949,0.93891304347826,0.660987544427706,High,1,0.6586182261031517
Tajikistan,Isfara,2019,122.8,92.1,30.7,0.75,0.0132,976.74,0.1852,0.2263,14.99,80.9395,0.4953,85.929,1.6696,69.9433,0.9008,7.378,69.5906,71.1369,0.261,0.261,0.18,0.38,0,14.3,142.8,0.1696,-0.3175,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1234,0.541999316739555,0.481171969883063,0.892223731884057,0.605224481783084,High,1,0.60213155802786
Tajikistan,Isfara,2020,124.9,93.7,31.2,0.75,0.0129,1096.3,0.2089,0.2267,14.04,67.2092,0.5136,82.638,1.6726,69.9433,1.0117,7.378,74.5253,71.2872,0.279,0.279,0.19,0.4,0,17.83,134.5,0.1781,-0.3279,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1248,0.540307274264162,0.475910245484458,0.827305253623188,0.586297957592037,High,1,0.5928937720277225
Tajikistan,Isfara,2021,128.1,96.1,32.0,0.75,0.013,1216.37,0.2507,0.2265,16.21,64.659,0.5145,75.377,1.6711,69.9433,1.0985,7.378,74.5253,71.2188,0.282,0.282,0.2,0.42,0,13.33,88.0,0.1511,-0.3005,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0962,0.514691285416529,0.552344802401102,0.801449275362318,0.601442189696806,High,1,0.6005848640572714
Tajikistan,Isfara,2022,130.2,97.6,32.6,0.75,0.0129,1515.89,0.2972,0.2256,14.72,49.5289,0.5052,61.785,1.6645,69.9433,1.1782,7.378,74.5253,68.8341,0.268,0.268,0.21,0.43,0,14.83,148.4,0.1297,-0.2328,289.5929,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1151,0.460557331253405,0.552755596649564,0.826385869565217,0.588893771989822,High,1,0.5911248885840318
Tajikistan,Isfara,2023,132.8,99.6,33.2,0.75,0.0129,1874.44,0.3328,0.2252,15.01,45.1022,0.4957,54.138,1.6615,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.27,0.22,0.45,0,17.06,190.9,0.1293,-0.2348,254.4058,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0866,0.427828509747006,0.544655955662224,0.803134057971014,0.568385875169095,High,1,0.5703724901810125
Tajikistan,Isfara,2024,135.4,101.6,33.8,0.75,0.013,2288.12,0.3328,0.2252,15.01,45.1022,0.4853,54.138,1.6615,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.32,0.4,0.46,0,15.18,190.0,0.1238,-0.2335,333.7091,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0866,0.42218247283061,0.592484572753873,0.576403985507246,0.528858690969074,High,1,0.5377020649764385
Tajikistan,Khujand,2016,219.4,120.7,98.7,0.55,0.0251,835.37,0.2869,0.5023,34.31,119.5887,0.5482,101.229,3.706,57.7187,0.9157,7.378,81.0836,74.1803,0.273,0.273,0.15,0.32,0,15.66,130.5,0.1048,-0.2503,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1643,0.747557814202801,0.463364241499806,0.915104166666666,0.675766973237569,High,1,0.674133916889359
Tajikistan,Khujand,2017,223.5,122.9,100.6,0.55,0.025,1140.56,0.3268,0.5022,34.14,104.4676,0.5177,96.944,3.7052,52.6982,1.0357,7.378,64.9224,71.9019,0.25,0.25,0.16,0.34,0,14.6,105.4,0.106,-0.1906,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1762,0.715601913229457,0.450832989676939,0.95695652173913,0.670032995935868,High,1,0.6682973169846694
Tajikistan,Khujand,2018,227.8,125.3,102.5,0.55,0.025,1161.6,0.3512,0.5032,30.47,86.7597,0.5168,96.733,3.7126,64.4808,0.9105,7.378,75.486,71.5898,0.25,0.25,0.17,0.36,0,15.19,232.0,0.108,-0.1997,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1855,0.714774636062804,0.404721538265921,0.93891304347826,0.646787998797915,High,1,0.6482950733285644
